30.8296 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
63.8488 	DATA 	Keypress: o
63.8496 	Level start key press 	25
65.8533 	DATA 	Keypress: o
67.8515 	DATA 	Keypress: o
69.8505 	DATA 	Keypress: o
71.8507 	DATA 	Keypress: o
72.9485 	Level image=waterlogo.jpg 	25
73.8670 	DATA 	Keypress: o
73.8803 	Level injecting via pump at address 0 	25
79.8702 	DATA 	Keypress: o
79.8717 	DATA 	Keypress: o
79.8729 	DATA 	Keypress: o
79.8790 	Level WAIT 	25
80.8728 	Level RINSE 	25
82.8779 	DATA 	Keypress: o
82.8901 	Level jitter 	25
89.8640 	Level finished 	25
89.8654 	DATA 	Keypress: o
89.8665 	DATA 	Keypress: o
89.8674 	DATA 	Keypress: o
89.8684 	DATA 	Keypress: o
89.8909 	Level image=tasty.jpg 	25
90.8922 	Level injecting via pump at address 0 	25
96.8691 	DATA 	Keypress: o
96.8703 	DATA 	Keypress: o
96.8718 	DATA 	Keypress: o
96.8909 	Level WAIT 	25
97.8670 	DATA 	Keypress: o
97.8892 	Level RINSE 	25
99.8699 	DATA 	Keypress: o
99.8893 	Level jitter 	25
103.8640 	Level finished 	25
103.8655 	DATA 	Keypress: o
103.8667 	DATA 	Keypress: o
103.8870 	Level image=tasty.jpg 	25
104.8869 	Level injecting via pump at address 1 	25
110.8695 	DATA 	Keypress: o
110.8709 	DATA 	Keypress: o
110.8720 	DATA 	Keypress: o
110.8853 	Level WAIT 	25
111.8670 	DATA 	Keypress: o
111.8844 	Level RINSE 	25
113.8691 	DATA 	Keypress: o
113.8753 	Level jitter 	25
114.8640 	Level finished 	25
114.8840 	Level image=tasty.jpg 	25
115.8669 	DATA 	Keypress: o
115.8756 	Level injecting via pump at address 0 	25
121.8695 	DATA 	Keypress: o
121.8706 	DATA 	Keypress: o
121.8716 	DATA 	Keypress: o
121.8823 	Level WAIT 	25
122.8810 	Level RINSE 	25
124.8695 	DATA 	Keypress: o
124.8758 	Level jitter 	25
132.8640 	Level finished 	25
132.8656 	DATA 	Keypress: o
132.8669 	DATA 	Keypress: o
132.8681 	DATA 	Keypress: o
132.8693 	DATA 	Keypress: o
132.8957 	Level image=waterlogo.jpg 	25
133.8678 	DATA 	Keypress: o
133.8941 	Level injecting via pump at address 0 	25
139.8702 	DATA 	Keypress: o
139.8715 	DATA 	Keypress: o
139.8731 	DATA 	Keypress: o
139.8921 	Level WAIT 	25
140.8921 	Level RINSE 	25
142.8694 	DATA 	Keypress: o
142.8915 	Level jitter 	25
150.8640 	Level finished 	25
150.8655 	DATA 	Keypress: o
150.8668 	DATA 	Keypress: o
150.8680 	DATA 	Keypress: o
150.8695 	DATA 	Keypress: o
150.8884 	Level image=waterlogo.jpg 	25
151.8673 	DATA 	Keypress: o
151.8882 	Level injecting via pump at address 0 	25
157.8696 	DATA 	Keypress: o
157.8709 	DATA 	Keypress: o
157.8721 	DATA 	Keypress: o
157.8874 	Level WAIT 	25
