36.0992 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
288.4775 	Level jitter 	25
291.4559 	Level finished 	25
291.4575 	DATA 	Keypress: o
291.4587 	DATA 	Keypress: o
291.4758 	Level image=waterlogo.jpg 	25
292.4759 	Level injecting via pump at address 0 	25
298.4610 	DATA 	Keypress: o
298.4620 	DATA 	Keypress: o
298.4632 	DATA 	Keypress: o
298.4743 	Level WAIT 	25
299.4584 	DATA 	Keypress: o
299.4681 	Level RINSE 	25
301.4614 	DATA 	Keypress: o
301.4736 	Level jitter 	25
305.4559 	Level finished 	25
305.4574 	DATA 	Keypress: o
305.4588 	DATA 	Keypress: o
305.4712 	Level image=tasty.jpg 	25
306.4716 	Level injecting via pump at address 1 	25
312.4614 	DATA 	Keypress: o
312.4627 	DATA 	Keypress: o
312.4641 	DATA 	Keypress: o
312.4865 	Level WAIT 	25
313.4592 	DATA 	Keypress: o
313.4692 	Level RINSE 	25
315.4612 	DATA 	Keypress: o
315.4688 	Level jitter 	25
316.4559 	Level finished 	25
316.4852 	Level image=waterlogo.jpg 	25
317.4587 	DATA 	Keypress: o
317.4683 	Level injecting via pump at address 0 	25
323.4615 	DATA 	Keypress: o
323.4629 	DATA 	Keypress: o
323.4644 	DATA 	Keypress: o
323.4832 	Level WAIT 	25
324.4818 	Level RINSE 	25
326.4624 	DATA 	Keypress: o
326.4818 	Level jitter 	25
329.4559 	Level finished 	25
329.4574 	DATA 	Keypress: o
329.4587 	DATA 	Keypress: o
329.4704 	Level image=tasty.jpg 	25
330.4807 	Level injecting via pump at address 1 	25
336.4612 	DATA 	Keypress: o
336.4626 	DATA 	Keypress: o
336.4638 	DATA 	Keypress: o
336.4714 	Level WAIT 	25
337.4587 	DATA 	Keypress: o
337.4780 	Level RINSE 	25
339.4618 	DATA 	Keypress: o
339.4769 	Level jitter 	25
347.4559 	Level finished 	25
347.4573 	DATA 	Keypress: o
347.4586 	DATA 	Keypress: o
347.4596 	DATA 	Keypress: o
347.4606 	DATA 	Keypress: o
347.4745 	Level image=tasty.jpg 	25
348.4749 	Level injecting via pump at address 1 	25
354.4613 	DATA 	Keypress: o
354.4626 	DATA 	Keypress: o
354.4638 	DATA 	Keypress: o
354.4892 	Level WAIT 	25
355.4587 	DATA 	Keypress: o
355.4721 	Level RINSE 	25
357.4614 	DATA 	Keypress: o
357.4882 	Level jitter 	25
361.4559 	Level finished 	25
361.4573 	DATA 	Keypress: o
361.4585 	DATA 	Keypress: o
361.4869 	Level image=waterlogo.jpg 	25
362.4862 	Level injecting via pump at address 0 	25
368.4623 	DATA 	Keypress: o
368.4637 	DATA 	Keypress: o
368.4650 	DATA 	Keypress: o
368.4741 	Level WAIT 	25
369.4588 	DATA 	Keypress: o
369.4679 	Level RINSE 	25
371.4623 	DATA 	Keypress: o
371.4836 	Level jitter 	25
374.4559 	Level finished 	25
374.4572 	DATA 	Keypress: o
374.4660 	Level image=tasty.jpg 	25
375.4585 	DATA 	Keypress: o
375.4660 	Level injecting via pump at address 1 	25
381.4614 	DATA 	Keypress: o
381.4626 	DATA 	Keypress: o
381.4637 	DATA 	Keypress: o
381.4752 	Level WAIT 	25
382.4628 	Level RINSE 	25
384.4613 	DATA 	Keypress: o
384.4740 	Level jitter 	25
389.4559 	Level finished 	25
389.4574 	DATA 	Keypress: o
389.4587 	DATA 	Keypress: o
389.4602 	DATA 	Keypress: o
389.4771 	Level image=waterlogo.jpg 	25
390.4744 	Level injecting via pump at address 0 	25
396.4613 	DATA 	Keypress: o
396.4624 	DATA 	Keypress: o
396.4633 	DATA 	Keypress: o
396.4921 	Level WAIT 	25
397.4595 	DATA 	Keypress: o
397.4751 	Level RINSE 	25
399.4619 	DATA 	Keypress: o
399.4907 	Level jitter 	25
404.4559 	Level finished 	25
404.4579 	DATA 	Keypress: o
404.4598 	DATA 	Keypress: o
404.4730 	Level image=waterlogo.jpg 	25
405.4588 	DATA 	Keypress: o
405.4891 	Level injecting via pump at address 0 	25
411.4614 	DATA 	Keypress: o
411.4626 	DATA 	Keypress: o
411.4639 	DATA 	Keypress: o
411.4870 	Level WAIT 	25
412.4696 	Level RINSE 	25
414.4615 	DATA 	Keypress: o
414.4698 	Level jitter 	25
423.4559 	Level finished 	25
423.4572 	DATA 	Keypress: o
423.4583 	DATA 	Keypress: o
423.4593 	DATA 	Keypress: o
423.4603 	DATA 	Keypress: o
423.4613 	DATA 	Keypress: o
423.4832 	Level image=tasty.jpg 	25
424.4656 	Level injecting via pump at address 1 	25
430.4616 	DATA 	Keypress: o
430.4633 	DATA 	Keypress: o
430.4645 	DATA 	Keypress: o
430.4802 	Level WAIT 	25
431.4591 	DATA 	Keypress: o
431.4638 	Level RINSE 	25
433.4617 	DATA 	Keypress: o
433.4785 	Level jitter 	25
435.4559 	Level finished 	25
435.4572 	DATA 	Keypress: o
435.4960 	Level image=waterlogo.jpg 	25
436.4784 	Level injecting via pump at address 0 	25
442.4621 	DATA 	Keypress: o
442.4634 	DATA 	Keypress: o
442.4646 	DATA 	Keypress: o
442.4770 	Level WAIT 	25
443.4589 	DATA 	Keypress: o
443.4771 	Level RINSE 	25
445.4614 	DATA 	Keypress: o
445.4752 	Level jitter 	25
448.4559 	Level finished 	25
448.4574 	DATA 	Keypress: o
448.4745 	Level image=waterlogo.jpg 	25
449.4588 	DATA 	Keypress: o
449.4750 	Level injecting via pump at address 0 	25
455.4618 	DATA 	Keypress: o
455.4631 	DATA 	Keypress: o
455.4643 	DATA 	Keypress: o
455.4731 	Level WAIT 	25
456.4718 	Level RINSE 	25
458.4615 	DATA 	Keypress: o
458.4719 	Level jitter 	25
463.4559 	Level finished 	25
463.4572 	DATA 	Keypress: o
463.4582 	DATA 	Keypress: o
463.4591 	DATA 	Keypress: o
463.4704 	Level image=tasty.jpg 	25
464.4699 	Level injecting via pump at address 1 	25
470.4617 	DATA 	Keypress: o
470.4632 	DATA 	Keypress: o
470.4644 	DATA 	Keypress: o
470.4804 	Level WAIT 	25
