24.1881 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
51.4150 	DATA 	Keypress: o
51.4158 	Level start key press 	25
53.4252 	DATA 	Keypress: o
55.4242 	DATA 	Keypress: o
57.4240 	DATA 	Keypress: o
59.4238 	DATA 	Keypress: o
60.5377 	Level image=waterlogo.jpg 	25
61.4614 	DATA 	Keypress: o
61.4877 	Level injecting via pump at address 0 	25
67.4637 	DATA 	Keypress: o
67.4647 	DATA 	Keypress: o
67.4657 	DATA 	Keypress: o
67.4848 	Level WAIT 	25
68.4844 	Level RINSE 	25
70.4726 	DATA 	Keypress: o
70.4841 	Level jitter 	25
79.4585 	Level finished 	25
79.4600 	DATA 	Keypress: o
79.4613 	DATA 	Keypress: o
79.4625 	DATA 	Keypress: o
79.4637 	DATA 	Keypress: o
79.4652 	DATA 	Keypress: o
79.4814 	Level image=waterlogo.jpg 	25
80.4646 	Level injecting via pump at address 0 	25
86.4639 	DATA 	Keypress: o
86.4652 	DATA 	Keypress: o
86.4664 	DATA 	Keypress: o
86.4789 	Level WAIT 	25
87.4611 	DATA 	Keypress: o
87.4781 	Level RINSE 	25
89.4639 	DATA 	Keypress: o
89.4779 	Level jitter 	25
94.4585 	Level finished 	25
94.4602 	DATA 	Keypress: o
94.4616 	DATA 	Keypress: o
94.4742 	Level image=tasty.jpg 	25
95.4618 	DATA 	Keypress: o
95.4763 	Level injecting via pump at address 0 	25
101.4649 	DATA 	Keypress: o
101.4662 	DATA 	Keypress: o
101.4674 	DATA 	Keypress: o
101.4915 	Level WAIT 	25
102.4740 	Level RINSE 	25
104.4641 	DATA 	Keypress: o
104.4893 	Level jitter 	25
105.4585 	Level finished 	25
105.4598 	DATA 	Keypress: o
105.4899 	Level image=tasty.jpg 	25
106.4720 	Level injecting via pump at address 1 	25
112.4636 	DATA 	Keypress: o
112.4650 	DATA 	Keypress: o
112.4662 	DATA 	Keypress: o
112.4871 	Level WAIT 	25
113.4612 	DATA 	Keypress: o
113.4696 	Level RINSE 	25
115.4640 	DATA 	Keypress: o
115.4699 	Level jitter 	25
120.4585 	Level finished 	25
120.4599 	DATA 	Keypress: o
120.4612 	DATA 	Keypress: o
120.4850 	Level image=tasty.jpg 	25
121.4614 	DATA 	Keypress: o
121.4675 	Level injecting via pump at address 0 	25
127.4643 	DATA 	Keypress: o
127.4656 	DATA 	Keypress: o
127.4668 	DATA 	Keypress: o
127.4821 	Level WAIT 	25
128.4656 	Level RINSE 	25
130.4633 	DATA 	Keypress: o
130.4759 	Level jitter 	25
134.4585 	Level finished 	25
134.4597 	DATA 	Keypress: o
134.4607 	DATA 	Keypress: o
134.4770 	Level image=waterlogo.jpg 	25
135.4615 	DATA 	Keypress: o
135.4801 	Level injecting via pump at address 0 	25
141.4640 	DATA 	Keypress: o
141.4653 	DATA 	Keypress: o
141.4665 	DATA 	Keypress: o
141.4781 	Level WAIT 	25
142.4941 	Level RINSE 	25
144.4639 	DATA 	Keypress: o
144.4768 	Level jitter 	25
146.4585 	Level finished 	25
146.4600 	DATA 	Keypress: o
146.4760 	Level image=tasty.jpg 	25
147.4613 	DATA 	Keypress: o
147.4759 	Level injecting via pump at address 0 	25
153.4643 	DATA 	Keypress: o
153.4657 	DATA 	Keypress: o
153.4674 	DATA 	Keypress: o
153.4740 	Level WAIT 	25
154.4739 	Level RINSE 	25
156.4636 	DATA 	Keypress: o
156.4887 	Level jitter 	25
164.4585 	Level finished 	25
164.4602 	DATA 	Keypress: o
164.4614 	DATA 	Keypress: o
164.4624 	DATA 	Keypress: o
164.4634 	DATA 	Keypress: o
164.4870 	Level image=waterlogo.jpg 	25
165.4617 	DATA 	Keypress: o
165.4699 	Level injecting via pump at address 0 	25
171.4643 	DATA 	Keypress: o
171.4657 	DATA 	Keypress: o
171.4669 	DATA 	Keypress: o
171.4786 	Level WAIT 	25
172.4674 	Level RINSE 	25
174.4651 	DATA 	Keypress: o
174.4796 	Level jitter 	25
179.4585 	Level finished 	25
179.4601 	DATA 	Keypress: o
179.4616 	DATA 	Keypress: o
179.4628 	DATA 	Keypress: o
179.4799 	Level image=tasty.jpg 	25
180.4647 	Level injecting via pump at address 1 	25
186.4642 	DATA 	Keypress: o
186.4655 	DATA 	Keypress: o
186.4665 	DATA 	Keypress: o
186.4803 	Level WAIT 	25
187.4615 	DATA 	Keypress: o
187.4793 	Level RINSE 	25
189.4642 	DATA 	Keypress: o
189.4948 	Level jitter 	25
191.4585 	Level finished 	25
191.4600 	DATA 	Keypress: o
191.4778 	Level image=tasty.jpg 	25
192.4771 	Level injecting via pump at address 0 	25
198.4640 	DATA 	Keypress: o
198.4653 	DATA 	Keypress: o
198.4666 	DATA 	Keypress: o
198.4754 	Level WAIT 	25
199.4614 	DATA 	Keypress: o
199.4747 	Level RINSE 	25
201.4641 	DATA 	Keypress: o
201.4750 	Level jitter 	25
204.4585 	Level finished 	25
204.4599 	DATA 	Keypress: o
204.4737 	Level image=waterlogo.jpg 	25
205.4614 	DATA 	Keypress: o
205.4735 	Level injecting via pump at address 0 	25
211.4645 	DATA 	Keypress: o
211.4658 	DATA 	Keypress: o
211.4670 	DATA 	Keypress: o
211.4722 	Level WAIT 	25
212.4705 	Level RINSE 	25
214.4649 	DATA 	Keypress: o
214.4696 	Level jitter 	25
222.4585 	Level finished 	25
222.4602 	DATA 	Keypress: o
