23.2810 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
266.4854 	Level finished 	25
266.4868 	DATA 	Keypress: o
266.5072 	Level image=tasty.jpg 	25
267.5072 	Level injecting via pump at address 1 	25
273.4916 	DATA 	Keypress: o
273.4929 	DATA 	Keypress: o
273.4942 	DATA 	Keypress: o
273.5041 	Level WAIT 	25
274.4887 	DATA 	Keypress: o
274.5049 	Level RINSE 	25
276.4904 	DATA 	Keypress: o
276.5007 	Level jitter 	25
278.4854 	Level finished 	25
278.4868 	DATA 	Keypress: o
278.5029 	Level image=waterlogo.jpg 	25
279.5005 	Level injecting via pump at address 0 	25
285.4909 	DATA 	Keypress: o
285.4922 	DATA 	Keypress: o
285.4934 	DATA 	Keypress: o
285.5178 	Level WAIT 	25
286.4883 	DATA 	Keypress: o
286.5002 	Level RINSE 	25
288.4900 	DATA 	Keypress: o
288.5161 	Level jitter 	25
291.4854 	Level finished 	25
291.4868 	DATA 	Keypress: o
291.5151 	Level image=tasty.jpg 	25
292.4881 	DATA 	Keypress: o
292.4990 	Level injecting via pump at address 1 	25
298.4902 	DATA 	Keypress: o
298.4915 	DATA 	Keypress: o
298.4927 	DATA 	Keypress: o
298.5131 	Level WAIT 	25
299.4962 	Level RINSE 	25
301.4912 	DATA 	Keypress: o
301.4961 	Level jitter 	25
303.4854 	Level finished 	25
303.4868 	DATA 	Keypress: o
303.5028 	Level image=waterlogo.jpg 	25
304.4882 	DATA 	Keypress: o
304.4944 	Level injecting via pump at address 0 	25
310.4901 	DATA 	Keypress: o
310.4915 	DATA 	Keypress: o
310.4925 	DATA 	Keypress: o
310.5094 	Level WAIT 	25
311.4928 	Level RINSE 	25
313.4909 	DATA 	Keypress: o
313.5026 	Level jitter 	25
314.4854 	Level finished 	25
314.4867 	DATA 	Keypress: o
314.5076 	Level image=tasty.jpg 	25
315.4912 	Level injecting via pump at address 1 	25
321.4907 	DATA 	Keypress: o
321.4921 	DATA 	Keypress: o
321.4933 	DATA 	Keypress: o
321.5041 	Level WAIT 	25
322.4878 	DATA 	Keypress: o
322.5041 	Level RINSE 	25
324.4911 	DATA 	Keypress: o
324.5046 	Level jitter 	25
326.4854 	Level finished 	25
326.4866 	DATA 	Keypress: o
326.5214 	Level image=waterlogo.jpg 	25
327.5202 	Level injecting via pump at address 0 	25
333.4914 	DATA 	Keypress: o
333.4927 	DATA 	Keypress: o
333.4939 	DATA 	Keypress: o
333.5188 	Level WAIT 	25
334.4884 	DATA 	Keypress: o
334.5012 	Level RINSE 	25
336.4908 	DATA 	Keypress: o
336.5172 	Level jitter 	25
342.4854 	Level finished 	25
342.4868 	DATA 	Keypress: o
342.4878 	DATA 	Keypress: o
342.4888 	DATA 	Keypress: o
342.5159 	Level image=waterlogo.jpg 	25
343.4986 	Level injecting via pump at address 0 	25
349.4907 	DATA 	Keypress: o
349.4920 	DATA 	Keypress: o
349.4930 	DATA 	Keypress: o
349.5126 	Level WAIT 	25
350.4885 	DATA 	Keypress: o
350.4967 	Level RINSE 	25
352.4910 	DATA 	Keypress: o
352.5118 	Level jitter 	25
355.4854 	Level finished 	25
355.4870 	DATA 	Keypress: o
355.5068 	Level image=tasty.jpg 	25
356.4885 	DATA 	Keypress: o
356.4945 	Level injecting via pump at address 1 	25
362.4916 	DATA 	Keypress: o
362.4929 	DATA 	Keypress: o
362.4942 	DATA 	Keypress: o
362.5089 	Level WAIT 	25
363.4920 	Level RINSE 	25
365.4915 	DATA 	Keypress: o
365.5087 	Level jitter 	25
373.4854 	Level finished 	25
373.4870 	DATA 	Keypress: o
373.4883 	DATA 	Keypress: o
