	anat	fmap	func	runs_pe	runs_rest	runs_train
sub-010	1	0	0	0	0	0
sub-012	1	0	0	0	0	0
sub-018	1	3	3	0	1	2
sub-037	1	0	0	0	0	0
sub-040	1	0	0	0	0	0
sub-045	0	5	5	2	1	2
sub-052	1	0	0	0	0	0
