	anat	fmap	func	runs_pe	runs_rest	runs_train
sub-001	0	0	0	0	0	0
sub-002	0	0	0	0	0	0
sub-003	0	0	0	0	0	0
sub-004	0	0	0	0	0	0
sub-013	0	0	0	0	0	0
sub-017	0	0	0	0	0	0
sub-018	0	0	0	0	0	0
sub-027	0	0	0	0	0	0
sub-042	0	0	0	0	0	0
sub-054	0	0	0	0	0	0
